Entity,Code,Day,total_vaccinations_per_hundred,"GDP per capita, PPP (constant 2011 international $)",Year,Year,Continent
Africa,,2021-09-29,10.77,,,,
Africa,,2021-09-30,10.91,,,,
Africa,,2021-10-01,10.94,,,,
Africa,,2021-10-02,11.02,,,,
Africa,,2021-10-03,11.06,,,,
Africa,,2021-10-04,11.07,,,,
Africa,,2021-10-05,11.11,,,,
Africa,,2021-10-06,11.16,,,,
Africa,,2021-10-07,11.3,,,,
Africa,,2021-10-08,11.64,,,,
Africa,,2021-10-09,11.74,,,,
Africa,,2021-10-10,11.76,,,,
Africa,,2021-10-11,11.8,,,,
Africa,,2021-10-12,11.82,,,,
Africa,,2021-10-13,12,,,,
Africa,,2021-10-14,12.15,,,,
Africa,,2021-10-15,12.25,,,,
Africa,,2021-10-16,12.26,,,,
Africa,,2021-10-17,12.58,,,,
Africa,,2021-10-18,12.69,,,,
Africa,,2021-10-19,12.77,,,,
Africa,,2021-10-20,12.84,,,,
Africa,,2021-10-21,13,,,,
Africa,,2021-10-22,13.04,,,,
Africa,,2021-10-23,13.27,,,,
Africa,,2021-10-24,13.45,,,,
Africa,,2021-10-25,13.48,,,,
Africa,,2021-10-26,13.6,,,,
Africa,,2021-10-27,13.63,,,,
Africa,,2021-10-28,13.82,,,,
Africa,,2021-10-29,14.07,,,,
Africa,,2021-10-30,14.15,,,,
Africa,,2021-10-31,14.31,,,,
Africa,,2021-11-01,14.4,,,,
Africa,,2021-11-02,14.5,,,,
Africa,,2021-11-03,14.54,,,,
Africa,,2021-11-04,14.73,,,,
Africa,,2021-11-05,14.75,,,,
Africa,,2021-11-06,14.91,,,,
Africa,,2021-11-07,14.97,,,,
Africa,,2021-11-08,15,,,,
Africa,,2021-11-09,15.03,,,,
Africa,,2021-11-10,15.45,,,,
Africa,,2021-11-11,15.54,,,,
Africa,,2021-11-12,15.57,,,,
Africa,,2021-11-13,15.69,,,,
Africa,,2021-11-14,15.76,,,,
Africa,,2021-11-15,15.85,,,,
Africa,,2021-11-16,15.87,,,,
Africa,,2021-11-17,15.92,,,,
Africa,,2021-11-18,16.23,,,,
Africa,,2021-11-19,16.25,,,,
Africa,,2021-11-20,16.43,,,,
Africa,,2021-11-21,16.57,,,,
Africa,,2021-11-22,16.67,,,,
Africa,,2021-11-23,16.74,,,,
Africa,,2021-11-24,17,,,,
Africa,,2021-11-25,17.07,,,,
Africa,,2021-11-26,17.16,,,,
Africa,,2021-11-27,17.2,,,,
Africa,,2021-11-28,17.47,,,,
Africa,,2021-11-29,17.62,,,,
Africa,,2021-11-30,17.71,,,,
Africa,,2021-12-01,17.75,,,,
Africa,,2021-12-02,17.98,,,,
Africa,,2021-12-03,18.11,,,,
Africa,,2021-12-04,18.33,,,,
Africa,,2021-12-05,18.4,,,,
Africa,,2021-12-06,18.55,,,,
Africa,,2021-12-07,18.59,,,,
Africa,,2021-12-08,18.76,,,,
Africa,,2021-12-09,19.18,,,,
Africa,,2021-12-10,19.23,,,,
Africa,,2021-12-11,19.41,,,,
Africa,,2021-12-12,19.53,,,,
Africa,,2021-12-13,19.6,,,,
Africa,,2021-12-14,19.77,,,,
Africa,,2021-12-15,20.32,,,,
Africa,,2021-12-16,20.36,,,,
Africa,,2021-12-17,20.4,,,,
Africa,,2021-12-18,20.55,,,,
Africa,,2021-12-19,20.6,,,,
Africa,,2021-12-20,20.99,,,,
Africa,,2021-12-21,21.03,,,,
Africa,,2021-12-22,21.15,,,,
Africa,,2021-12-23,21.58,,,,
Africa,,2021-12-24,21.76,,,,
Africa,,2021-12-25,21.77,,,,
Africa,,2021-12-26,21.88,,,,
Africa,,2021-12-27,21.97,,,,
Africa,,2021-12-28,22.06,,,,
Africa,,2021-12-29,22.09,,,,
Africa,,2021-12-30,22.25,,,,
Africa,,2021-12-31,22.5,,,,
Africa,,2022-01-01,22.54,,,,
Africa,,2022-01-02,22.6,,,,
Africa,,2022-01-03,22.63,,,,
Africa,,2022-01-04,23.02,,,,
Africa,,2022-01-05,23.06,,,,
Africa,,2022-01-06,23.3,,,,
Africa,,2022-01-07,23.32,,,,
Africa,,2022-01-08,23.45,,,,
Africa,,2022-01-09,23.45,,,,
Akrotiri and Dhekelia,OWID_AKD,2020-01-21,,,,2015,Asia
Albania,ALB,2021-01-10,0,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-12,0,11803.4305936025,2017,2015,Europe
